data;produto;turno;quantidade_vendida;categoria;preco_unitario
2023-01-01;prato_executivo;almoco;8;prato_principal;35.9
2023-01-01;prato_executivo;jantar;15;prato_principal;35.9
2023-01-01;prato_executivo;cafe_manha;9;prato_principal;35.9
2023-01-01;salada_caesar;almoco;2;entrada;18.5
2023-01-01;salada_caesar;jantar;2;entrada;18.5
2023-01-01;salada_caesar;cafe_manha;3;entrada;18.5
2023-01-01;frango_grelhado;almoco;6;prato_principal;32.0
2023-01-01;frango_grelhado;jantar;5;prato_principal;32.0
2023-01-01;frango_grelhado;cafe_manha;11;prato_principal;32.0
2023-01-01;suco_laranja;almoco;10;bebida;8.0
2023-01-01;suco_laranja;jantar;19;bebida;8.0
2023-01-01;suco_laranja;cafe_manha;17;bebida;8.0
2023-01-01;sobremesa_dia;jantar;6;sobremesa;12.0
2023-01-01;sobremesa_dia;cafe_manha;4;sobremesa;12.0
2023-01-01;prato_vegetariano;almoco;4;prato_principal;28.0
2023-01-01;prato_vegetariano;jantar;5;prato_principal;28.0
2023-01-01;prato_vegetariano;cafe_manha;2;prato_principal;28.0
2023-01-02;prato_executivo;almoco;56;prato_principal;35.9
2023-01-02;prato_executivo;jantar;41;prato_principal;35.9
2023-01-02;prato_executivo;cafe_manha;37;prato_principal;35.9
2023-01-02;salada_caesar;almoco;12;entrada;18.5
2023-01-02;salada_caesar;jantar;6;entrada;18.5
2023-01-02;salada_caesar;cafe_manha;10;entrada;18.5
2023-01-02;frango_grelhado;almoco;27;prato_principal;32.0
2023-01-02;frango_grelhado;jantar;37;prato_principal;32.0
2023-01-02;frango_grelhado;cafe_manha;24;prato_principal;32.0
2023-01-02;suco_laranja;almoco;63;bebida;8.0
2023-01-02;suco_laranja;jantar;42;bebida;8.0
2023-01-02;suco_laranja;cafe_manha;58;bebida;8.0
2023-01-02;sobremesa_dia;almoco;23;sobremesa;12.0
2023-01-02;sobremesa_dia;jantar;18;sobremesa;12.0
2023-01-02;sobremesa_dia;cafe_manha;23;sobremesa;12.0
2023-01-02;prato_vegetariano;almoco;20;prato_principal;28.0
2023-01-02;prato_vegetariano;jantar;11;prato_principal;28.0
2023-01-02;prato_vegetariano;cafe_manha;19;prato_principal;28.0
2023-01-03;prato_executivo;almoco;45;prato_principal;35.9
2023-01-03;prato_executivo;jantar;52;prato_principal;35.9
2023-01-03;prato_executivo;cafe_manha;49;prato_principal;35.9
2023-01-03;salada_caesar;almoco;15;entrada;18.5
2023-01-03;salada_caesar;jantar;12;entrada;18.5
2023-01-03;salada_caesar;cafe_manha;14;entrada;18.5
2023-01-03;frango_grelhado;cafe_manha;24;prato_principal;32.0
2023-01-03;suco_laranja;almoco;76;bebida;8.0
2023-01-03;suco_laranja;jantar;48;bebida;8.0
2023-01-03;suco_laranja;cafe_manha;64;bebida;8.0
2023-01-03;sobremesa_dia;almoco;25;sobremesa;12.0
2023-01-03;sobremesa_dia;jantar;15;sobremesa;12.0
2023-01-03;sobremesa_dia;cafe_manha;19;sobremesa;12.0
2023-01-03;prato_vegetariano;almoco;26;prato_principal;28.0
2023-01-03;prato_vegetariano;jantar;16;prato_principal;28.0
2023-01-03;prato_vegetariano;cafe_manha;15;prato_principal;28.0
2023-01-04;prato_executivo;almoco;47;prato_principal;35.9
2023-01-04;prato_executivo;jantar;37;prato_principal;35.9
2023-01-04;prato_executivo;cafe_manha;42;prato_principal;35.9
2023-01-04;salada_caesar;almoco;20;entrada;18.5
2023-01-04;salada_caesar;jantar;6;entrada;18.5
2023-01-04;salada_caesar;cafe_manha;8;entrada;18.5
2023-01-04;frango_grelhado;almoco;38;prato_principal;32.0
2023-01-04;frango_grelhado;jantar;25;prato_principal;32.0
2023-01-04;frango_grelhado;cafe_manha;39;prato_principal;32.0
2023-01-04;suco_laranja;almoco;74;bebida;8.0
2023-01-04;suco_laranja;jantar;51;bebida;8.0
2023-01-04;suco_laranja;cafe_manha;62;bebida;8.0
2023-01-04;sobremesa_dia;almoco;23;sobremesa;12.0
2023-01-04;sobremesa_dia;jantar;5;sobremesa;12.0
2023-01-04;sobremesa_dia;cafe_manha;18;sobremesa;12.0
